Window,Config,Val MAPE (%),Test MAPE (%),MAE (pct-pts),RMSE (pct-pts),F1_macro,Accuracy,Prec_macro,Recall_macro,DirectionalAcc,pct_up_pred,pct_up_true,Best?
7,large,8.4377,17.1847,1.0502,1.4891,0.3285,0.4823,0.4538,0.4992,0.4823,0.996,0.483,
7,medium,8.4447,17.1967,1.0541,1.4938,0.3389,0.4845,0.52,0.5011,0.4845,0.986,0.483,
7,small,8.4518,17.1961,1.0549,1.4954,0.4841,0.4852,0.4871,0.4873,0.4852,0.562,0.483,
10,large,8.433,17.1713,1.0505,1.4901,0.3258,0.4832,0.2416,0.5,0.4832,1.0,0.483,
10,medium,8.4481,17.1871,1.0545,1.4932,0.3504,0.4892,0.5649,0.5053,0.4892,0.979,0.483,
10,small,8.4412,17.1696,1.0501,1.4892,0.476,0.5021,0.4942,0.4952,0.5021,0.293,0.483,
15,large,8.432,16.8437,1.0495,1.4892,0.3262,0.4833,0.575,0.5001,0.4833,1.0,0.483,
15,medium,8.4376,16.8563,1.0562,1.4989,0.3618,0.4832,0.4912,0.4984,0.4832,0.953,0.483,
15,small,8.4368,16.8421,1.0514,1.4905,0.4612,0.4944,0.483,0.4866,0.4944,0.268,0.483,
30,large,8.4328,16.7592,1.0511,1.4927,0.3257,0.4831,0.2416,0.5,0.4831,1.0,0.483,
30,medium,8.4361,16.7717,1.0876,1.6488,0.3446,0.4837,0.4976,0.4998,0.4837,0.977,0.483,
30,small,8.4281,16.7447,1.0501,1.4898,0.4302,0.4995,0.4791,0.4883,0.4995,0.168,0.483,⭐
