Window,Config,Val MAPE (%),Test MAPE (%),MAE (pct-pts),RMSE (pct-pts),F1_macro,Accuracy,Prec_macro,Recall_macro,DirectionalAcc,pct_up_pred,pct_up_true,Best?
7,large,8.4341,17.1856,1.0521,1.4907,0.3257,0.483,0.2415,0.5,0.483,1.0,0.483,
7,medium,8.4403,17.1942,1.0528,1.4911,0.3284,0.4833,0.5216,0.5002,0.4833,0.997,0.483,
7,small,8.4375,17.1809,1.0534,1.4907,0.4667,0.5014,0.4914,0.4933,0.5014,0.262,0.483,
10,large,8.4357,17.1743,1.0532,1.4912,0.3258,0.4832,0.2416,0.5,0.4832,1.0,0.483,
10,medium,8.4414,17.1819,1.0526,1.4907,0.3314,0.4841,0.5397,0.5008,0.4841,0.995,0.483,
10,small,8.4355,17.1736,1.0526,1.4912,0.4494,0.4835,0.4895,0.4924,0.4835,0.766,0.483,
15,large,8.4352,16.8488,1.0525,1.4907,0.3258,0.4832,0.2416,0.5,0.4832,1.0,0.483,
15,medium,8.4395,16.8541,1.0521,1.4908,0.3497,0.4852,0.5103,0.5011,0.4852,0.973,0.483,
15,small,8.4514,16.8711,1.0569,1.4935,0.4392,0.4915,0.5041,0.5024,0.4915,0.822,0.483,
30,large,8.4359,16.7598,1.0527,1.4909,0.3257,0.4831,0.2416,0.5,0.4831,1.0,0.483,
30,medium,8.433,16.7541,1.0502,1.4894,0.3283,0.4827,0.462,0.4994,0.4827,0.996,0.483,
30,small,8.4361,16.7613,1.0508,1.4892,0.4514,0.491,0.501,0.5007,0.491,0.786,0.483,⭐
