number,value,state,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size_v2,params_hidden_size_v2,params_learning_rate,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
0,0.007015995215624571,COMPLETE,1,0.10617534828874074,0.9729188669457949,8,16,0.0005611516415334506,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00000/checkpoints/best-epoch002-valloss0.007016.ckpt,1,8,16,16-mixed,,2026-04-10 11:27:48.119814,2026-04-10 11:30:06.779256
1,0.007046656683087349,COMPLETE,2,0.18764339456056545,0.4297256589643226,16,16,0.004622589001020831,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00001/checkpoints/best-epoch002-valloss0.007047.ckpt,2,16,16,16-mixed,,2026-04-10 11:30:06.945797,2026-04-10 11:32:05.381192
2,0.007007800042629242,COMPLETE,4,0.3896896099223679,0.827557613304815,24,16,0.000816845589476017,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00002/checkpoints/best-epoch003-valloss0.007008.ckpt,4,16,16,16-mixed,24.0,2026-04-10 11:32:05.545952,2026-04-10 11:34:07.051364
3,0.00703441770747304,COMPLETE,1,0.19351332282682332,0.5680612190600297,16,32,0.0004066563313514797,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00003/checkpoints/best-epoch002-valloss0.007034.ckpt,1,16,32,16-mixed,,2026-04-10 11:34:07.215052,2026-04-10 11:36:27.505972
4,0.006997050251811743,COMPLETE,1,0.11356818667316143,0.39279729768693794,8,32,0.0012399967836846098,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00004/checkpoints/best-epoch003-valloss0.006997.ckpt,1,8,32,16-mixed,,2026-04-10 11:36:27.671837,2026-04-10 11:38:48.046163
5,0.007004228420555592,COMPLETE,4,0.33167343078899725,0.2788441133807552,16,32,0.0005989003672254305,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00005/checkpoints/best-epoch003-valloss0.007004.ckpt,4,16,32,16-mixed,,2026-04-10 11:38:48.213243,2026-04-10 11:41:12.959905
6,0.007106631528586149,PRUNED,2,0.19926940745579477,0.1572025152574213,8,16,0.00010257563974185662,,2,8,16,,,2026-04-10 11:41:13.123328,2026-04-10 11:43:33.506321
7,0.007052806206047535,PRUNED,2,0.3312901539863683,0.5444160367279517,8,32,0.0004187594718900631,,2,8,32,,,2026-04-10 11:43:53.703189,2026-04-10 11:46:15.006163
8,0.007048905827105045,PRUNED,2,0.22311487691068893,0.7799960246887438,16,16,0.0011103647313054626,,2,16,16,,,2026-04-10 11:46:35.205349,2026-04-10 11:48:34.183420
9,0.0070905741304159164,PRUNED,1,0.3677676995469934,0.5854080177240857,8,32,0.00028681134821030097,,1,8,32,,,2026-04-10 11:48:54.386032,2026-04-10 11:51:14.830734
10,0.007045395206660032,PRUNED,1,0.10435379079051574,0.36051495663771793,24,48,0.0035848769372239945,,1,24,48,,,2026-04-10 11:51:35.028656,2026-04-10 11:56:18.104263
11,,RUNNING,4,0.30575744846824787,0.17394630244618786,16,32,0.002097807787560887,,4,16,32,,,2026-04-10 11:56:38.495356,
12,0.007013661786913872,COMPLETE,4,0.292026550740267,0.18782668279680798,16,32,0.0018981975004790778,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00012/checkpoints/best-epoch003-valloss0.007014.ckpt,4,16,32,16-mixed,,2026-04-10 12:09:23.088296,2026-04-10 12:11:52.827839
13,0.007105594500899315,PRUNED,4,0.27612791426064187,0.2929648434897878,8,32,0.002097807787560887,,4,8,32,,,2026-04-10 12:11:52.995784,2026-04-10 12:14:23.161645
14,0.0070112356916069984,COMPLETE,4,0.14801615439746574,0.2624516319265396,16,48,0.00019027016686837213,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00014/checkpoints/best-epoch002-valloss0.007011.ckpt,4,16,48,16-mixed,,2026-04-10 12:14:43.348953,2026-04-10 12:17:16.309921
15,0.007053005043417215,PRUNED,1,0.32885271674980604,0.439744856846966,24,32,0.0015133359600755943,,1,24,32,,,2026-04-10 12:17:16.490496,2026-04-10 12:19:57.309689
16,0.0071200039237737656,PRUNED,4,0.2542668769519567,0.10575100638247964,8,32,0.007120008766282896,,4,8,32,,,2026-04-10 12:20:17.518384,2026-04-10 12:22:57.980482
17,0.006997459568083286,COMPLETE,1,0.32002125475827914,0.4239306266541796,16,48,0.0007520735845066469,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_15/trials/trial_00017/checkpoints/best-epoch002-valloss0.006997.ckpt,1,16,48,16-mixed,,2026-04-10 12:23:18.192417,2026-04-10 12:25:49.272656
18,0.007376083638519049,PRUNED,1,0.15770796357651873,0.6861051379380696,16,48,0.002881838632933024,,1,16,48,,,2026-04-10 12:25:49.436581,2026-04-10 12:28:20.696791
19,0.007038136478513479,PRUNED,1,0.29853106438518917,0.4522712698514057,8,48,0.0010760546519694805,,1,8,48,,,2026-04-10 12:28:40.904199,2026-04-10 12:31:11.429082
