epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.007758407853543758,,,,,
0,99,,0.008081307634711266,,,,,
0,149,,0.007158188149333,,,,,
0,199,,0.00862734206020832,,,,,
0,219,,,0.012733050622045994,455.34466552734375,0.017282599583268166,1.8100159168243408,0.007161018438637257
0,219,0.007890346460044384,,,,,,
1,249,,0.009922564029693604,,,,,
1,299,,0.007692537270486355,,,,,
1,349,,0.007738867308944464,,,,,
1,399,,0.007898882031440735,,,,,
1,439,,,0.012762187980115414,400.5254211425781,0.017318692058324814,1.8089839220046997,0.007191605865955353
1,439,0.00765182264149189,,,,,,
2,449,,0.007999083027243614,,,,,
2,499,,0.007537115830928087,,,,,
2,549,,0.007452533580362797,,,,,
2,599,,0.007176675368100405,,,,,
2,649,,0.006817819084972143,,,,,
2,659,,,0.012793945148587227,1607.1011962890625,0.01731892302632332,1.6306354999542236,0.007156906183809042
2,659,0.007620526943355799,,,,,,
3,699,,0.007993558421730995,,,,,
3,749,,0.007939806208014488,,,,,
3,799,,0.007472209632396698,,,,,
3,849,,0.00742496270686388,,,,,
3,879,,,0.012771522626280785,1013.614501953125,0.017320897430181503,1.7175687551498413,0.007146323099732399
3,879,0.007583932485431433,,,,,,
4,899,,0.006363942287862301,,,,,
4,949,,0.006788207683712244,,,,,
4,999,,0.007263059262186289,,,,,
4,1049,,0.008581625297665596,,,,,
4,1099,,0.007683145813643932,,,,,
4,1099,,,0.012769315391778946,821.8594360351562,0.017340917140245438,1.7799733877182007,0.0071735563687980175
4,1099,0.007541518192738295,,,,,,
5,1149,,0.008272684179246426,,,,,
5,1199,,0.006658270955085754,,,,,
5,1249,,0.006913184188306332,,,,,
5,1299,,0.0069197192788124084,,,,,
5,1319,,,0.012819843366742134,885.2953491210938,0.017404910176992416,1.7475659847259521,0.007226432207971811
5,1319,0.007488678675144911,,,,,,
6,1349,,0.0077164070680737495,,,,,
6,1399,,0.007581125479191542,,,,,
6,1449,,0.008349193260073662,,,,,
6,1499,,0.010104116052389145,,,,,
6,1539,,,0.012926226481795311,1010.6223754882812,0.01757117360830307,1.6759401559829712,0.007235716562718153
6,1539,0.007399330381304026,,,,,,
7,1549,,0.006004509516060352,,,,,
7,1599,,0.007033586502075195,,,,,
7,1649,,0.007012589834630489,,,,,
7,1699,,0.006429851520806551,,,,,
7,1749,,0.008360415697097778,,,,,
7,1759,,,0.012981799431145191,1994.087890625,0.017625024542212486,1.7088239192962646,0.007286887615919113
7,1759,0.007285908795893192,,,,,,
8,1799,,0.007279783487319946,,,,,
8,1849,,0.007399549707770348,,,,,
8,1899,,0.006824611220508814,,,,,
8,1949,,0.0068809413351118565,,,,,
8,1979,,,0.013091160915791988,1733.2862548828125,0.01778932847082615,1.6765949726104736,0.007373316213488579
8,1979,0.007176893763244152,,,,,,
