number,value,state,params_attention_head_size,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_continuous_size_v2,params_hidden_size,params_hidden_size_v2,params_learning_rate,user_attrs_Directional_Accuracy,user_attrs_F1_Up,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
0,0.00714503601193428,COMPLETE,4.0,,0.16370173320348286,0.26364247048639056,24.0,,16.0,,0.0005611516415334506,0.489342604565087,0.6295721664227797,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00000/checkpoints/best-epoch004-valloss0.007145.ckpt,,,,bf16-mixed,24.0,2026-04-10 01:27:35.817275,2026-04-10 01:30:33.302070
1,0.007189931347966194,COMPLETE,2.0,,0.2777243706586128,0.14180537144799796,8.0,,32.0,,0.00023270677083837802,0.4832656678089933,0.6506212726154146,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00001/checkpoints/best-epoch004-valloss0.007190.ckpt,,,,bf16-mixed,,2026-04-10 01:30:33.468917,2026-04-10 01:34:16.807252
2,0.007172047160565853,COMPLETE,4.0,,0.37279612062363465,0.3329019834400152,8.0,,64.0,,0.0016409286730647919,0.4841469773554083,0.64683808071474,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00002/checkpoints/best-epoch004-valloss0.007172.ckpt,,,,bf16-mixed,,2026-04-10 01:34:16.984481,2026-04-10 01:37:27.152999
3,0.007229628041386604,COMPLETE,2.0,,0.11356818667316143,0.39279729768693794,8.0,,48.0,,0.0021137059440645744,0.48337477658320754,0.6463197493749577,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00003/checkpoints/best-epoch001-valloss0.007230.ckpt,,,,bf16-mixed,,2026-04-10 01:37:27.304374,2026-04-10 01:40:26.986261
4,0.007195194251835346,COMPLETE,1.0,,0.3446384285364503,0.7361716094628554,24.0,,32.0,,0.0005989003672254305,0.4848028356225078,0.5734770116065318,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00004/checkpoints/best-epoch003-valloss0.007195.ckpt,,,,bf16-mixed,,2026-04-10 01:40:27.135401,2026-04-10 01:42:59.039117
5,0.007226324640214443,PRUNED,4.0,,0.36616382277289805,0.5249934326457544,8.0,,16.0,,0.0028708753481954683,,,,,,,,,2026-04-10 01:42:59.190378,2026-04-10 01:44:26.777846
6,0.007242802996188402,PRUNED,4.0,,0.25257120734941085,0.9168098265334838,16.0,,64.0,,0.00017345566642360953,,,,,,,,,2026-04-10 01:44:46.952396,2026-04-10 01:46:15.774698
7,0.007204518653452396,PRUNED,2.0,,0.3677676995469934,0.5854080177240857,24.0,,32.0,,0.00031519872951938895,,,,,,,,,2026-04-10 01:46:35.952885,2026-04-10 01:48:03.721305
8,0.007225492503494024,PRUNED,1.0,,0.20128455142108842,0.9486187335212672,24.0,,16.0,,0.004119839624605189,,,,,,,,24.0,2026-04-10 01:48:23.894705,2026-04-10 01:49:35.859233
9,0.007149511016905308,COMPLETE,4.0,,0.11544362537499682,0.35078181781295026,8.0,,64.0,,0.00044300218067679835,0.5038215197465784,0.5059633196958429,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00009/checkpoints/best-epoch004-valloss0.007150.ckpt,,,,bf16-mixed,,2026-04-10 01:49:56.032652,2026-04-10 01:52:33.431671
10,0.007224427070468664,PRUNED,8.0,,0.18180606316032538,0.13485267996506467,32.0,,16.0,,0.0077673538162370695,,,,,,,,32.0,2026-04-10 01:52:33.582200,2026-04-10 01:53:52.162689
11,0.007175490725785494,COMPLETE,4.0,,0.1029331042031445,0.3133526657347203,32.0,,64.0,,0.0006683343962512113,0.5168446465870354,0.0060207099516538165,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00011/checkpoints/best-epoch003-valloss0.007175.ckpt,,,,bf16-mixed,,2026-04-10 01:54:12.340376,2026-04-10 01:56:50.604513
12,0.007170605473220348,COMPLETE,4.0,,0.1591860528576127,0.24049827227484555,16.0,,48.0,,0.0004323248578036496,0.48493364558938334,0.5435046268923612,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00012/checkpoints/best-epoch002-valloss0.007171.ckpt,,,,bf16-mixed,,2026-04-10 01:56:50.758348,2026-04-10 01:59:26.559402
13,0.007252997253090143,PRUNED,8.0,,0.14663455033588305,0.508729272146599,24.0,,16.0,,0.0001105324656929113,,,,,,,,24.0,2026-04-10 01:59:26.710198,2026-04-10 02:00:44.612072
14,0.007164695765823126,COMPLETE,4.0,,0.22328535522849025,0.4323148257603022,8.0,,64.0,,0.0010856135103898363,0.48538334252619963,0.4917807678267124,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00014/checkpoints/best-epoch002-valloss0.007165.ckpt,,,,bf16-mixed,,2026-04-10 02:01:04.792070,2026-04-10 02:03:41.785566
15,0.007142381742596626,COMPLETE,4.0,,0.1449024316288992,0.24357780847616217,24.0,,16.0,,0.0008754669040795118,0.5130951627438747,0.1689385424884154,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00015/checkpoints/best-epoch006-valloss0.007142.ckpt,,,,bf16-mixed,24.0,2026-04-10 02:03:41.939117,2026-04-10 02:05:56.593607
16,0.007216117810457945,PRUNED,4.0,,0.2893253030616896,0.23185299527205722,24.0,,16.0,,0.001236233233009421,,,,,,,,24.0,2026-04-10 02:05:56.747062,2026-04-10 02:07:12.284797
17,0.007152552250772715,COMPLETE,8.0,,0.15796573766355765,0.10329790934647737,24.0,,16.0,,0.0008035952138507683,0.488227404386655,0.6338997425157208,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00017/checkpoints/best-epoch005-valloss0.007153.ckpt,,,,bf16-mixed,24.0,2026-04-10 02:07:32.460328,2026-04-10 02:09:51.107545
18,0.007295243442058563,PRUNED,1.0,,0.21649562351754414,0.6580555002665053,24.0,,16.0,,0.007501054462493079,,,,,,,,24.0,2026-04-10 02:09:51.263240,2026-04-10 02:11:04.638594
19,0.007253010291606188,PRUNED,4.0,,0.14194444722590646,0.2267297943193522,24.0,,16.0,,0.0036551247379703945,,,,,,,,24.0,2026-04-10 02:11:24.817857,2026-04-10 02:12:40.327559
