number,value,state,params_attention_head_size,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_continuous_size_v2,params_hidden_size,params_hidden_size_v2,params_learning_rate,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
0,,RUNNING,4.0,,0.16370173320348286,0.26364247048639056,24.0,,16.0,,0.0005611516415334506,,,,,,24.0,2026-04-10 03:11:57.681629,
1,0.007177108433097601,COMPLETE,4.0,,0.16370173320348286,0.26364247048639056,24.0,,16.0,,0.0005611516415334506,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00001/checkpoints/best-epoch003-valloss0.007177.ckpt,,,,bf16-mixed,24.0,2026-04-10 10:40:41.712281,2026-04-10 10:42:34.624251
2,0.00719677796587348,COMPLETE,2.0,,0.2777243706586128,0.14180537144799796,8.0,,32.0,,0.00023270677083837802,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00002/checkpoints/best-epoch003-valloss0.007197.ckpt,,,,bf16-mixed,,2026-04-10 10:42:34.801606,2026-04-10 10:44:33.061409
3,0.007183321285992861,COMPLETE,4.0,,0.37279612062363465,0.3329019834400152,8.0,,64.0,,0.0016409286730647919,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00003/checkpoints/best-epoch003-valloss0.007183.ckpt,,,,bf16-mixed,,2026-04-10 10:44:33.221207,2026-04-10 10:46:37.793317
4,0.007206729147583246,COMPLETE,2.0,,0.11356818667316143,0.39279729768693794,8.0,,48.0,,0.0021137059440645744,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00004/checkpoints/best-epoch001-valloss0.007207.ckpt,,,,bf16-mixed,,2026-04-10 10:46:37.957336,2026-04-10 10:48:48.590357
5,0.007197147700935602,COMPLETE,1.0,,0.3446384285364503,0.7361716094628554,24.0,,32.0,,0.0005989003672254305,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00005/checkpoints/best-epoch002-valloss0.007197.ckpt,,,,bf16-mixed,,2026-04-10 10:48:48.757378,2026-04-10 10:50:51.216321
6,0.007183816749602556,COMPLETE,4.0,,0.36616382277289805,0.5249934326457544,8.0,,16.0,,0.0028708753481954683,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00006/checkpoints/best-epoch002-valloss0.007184.ckpt,,,,bf16-mixed,,2026-04-10 10:50:51.379980,2026-04-10 10:53:04.521216
7,0.00717919459566474,COMPLETE,4.0,,0.25257120734941085,0.9168098265334838,16.0,,64.0,,0.00017345566642360953,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00007/checkpoints/best-epoch002-valloss0.007179.ckpt,,,,bf16-mixed,,2026-04-10 10:53:04.690752,2026-04-10 10:55:18.404555
8,0.0072041586972773075,PRUNED,2.0,,0.3677676995469934,0.5854080177240857,24.0,,32.0,,0.00031519872951938895,,,,,,,2026-04-10 10:55:18.584848,2026-04-10 10:57:30.294610
9,,RUNNING,,1.0,0.10617534828874074,0.9729188669457949,,8.0,,16.0,0.0005611516415334506,,1.0,8.0,16.0,,,2026-04-10 10:58:14.740295,
10,,RUNNING,,1.0,0.10617534828874074,0.9729188669457949,,8.0,,16.0,0.0005611516415334506,,1.0,8.0,16.0,,,2026-04-10 11:10:04.667503,
11,0.007170950528234243,COMPLETE,,1.0,0.10617534828874074,0.9729188669457949,,8.0,,16.0,0.0005611516415334506,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00011/checkpoints/best-epoch003-valloss0.007171.ckpt,1.0,8.0,16.0,16-mixed,,2026-04-10 11:11:07.152431,2026-04-10 11:13:12.446718
12,0.007188186049461365,COMPLETE,,2.0,0.18764339456056545,0.4297256589643226,,16.0,,16.0,0.004622589001020831,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00012/checkpoints/best-epoch001-valloss0.007188.ckpt,2.0,16.0,16.0,16-mixed,,2026-04-10 11:13:12.624594,2026-04-10 11:15:01.758963
13,0.007190140895545483,COMPLETE,,1.0,0.10435513047650767,0.916898315754266,,8.0,,16.0,0.0077673538162370695,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00013/checkpoints/best-epoch002-valloss0.007190.ckpt,1.0,8.0,16.0,16-mixed,,2026-04-10 11:15:01.918309,2026-04-10 11:16:45.344112
14,0.007111534476280212,COMPLETE,,4.0,0.1685148910260027,0.10866658385726038,,24.0,,32.0,0.0007006524581917545,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00014/checkpoints/best-epoch003-valloss0.007112.ckpt,4.0,24.0,32.0,16-mixed,,2026-04-10 11:16:45.507841,2026-04-10 11:18:32.194366
15,0.007186251692473888,COMPLETE,,4.0,0.1819972502412026,0.7558411247580183,,24.0,,32.0,0.0008716653951713175,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00015/checkpoints/best-epoch002-valloss0.007186.ckpt,4.0,24.0,32.0,16-mixed,,2026-04-10 11:18:32.357314,2026-04-10 11:20:19.019310
16,0.007227621506899595,PRUNED,,1.0,0.15450307836316182,0.17773202963734347,,24.0,,48.0,0.0001105324656929113,,1.0,24.0,48.0,,,2026-04-10 11:20:19.184583,2026-04-10 11:22:04.448076
17,0.007156988140195608,COMPLETE,,4.0,0.13591604119806583,0.9928167972879633,,8.0,,32.0,0.0004039179522872619,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00017/checkpoints/best-epoch002-valloss0.007157.ckpt,4.0,8.0,32.0,16-mixed,,2026-04-10 11:22:24.641936,2026-04-10 11:24:12.199481
18,0.007135534659028053,COMPLETE,,4.0,0.2202867909046132,0.7169541473160409,,24.0,,32.0,0.0013450549446761021,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00018/checkpoints/best-epoch002-valloss0.007136.ckpt,4.0,24.0,32.0,16-mixed,,2026-04-10 11:24:12.362131,2026-04-10 11:25:59.995138
19,0.007163520436733961,COMPLETE,,4.0,0.21407439181342275,0.6861051379380696,,24.0,,32.0,0.001236233233009421,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_10/trials/trial_00019/checkpoints/best-epoch001-valloss0.007164.ckpt,4.0,24.0,32.0,16-mixed,,2026-04-10 11:26:00.159332,2026-04-10 11:27:47.289331
