number,value,state,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size_v2,params_hidden_size_v2,params_learning_rate,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
0,0.007041764911264181,COMPLETE,1,0.10617534828874074,0.9729188669457949,8,16,0.0005611516415334506,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00000/checkpoints/best-epoch001-valloss0.007042.ckpt,1,8,16,16-mixed,,2026-04-10 12:31:32.252316,2026-04-10 12:35:15.351578
1,0.007076208479702473,COMPLETE,2,0.18764339456056545,0.4297256589643226,16,16,0.004622589001020831,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00001/checkpoints/best-epoch002-valloss0.007076.ckpt,2,16,16,16-mixed,,2026-04-10 12:35:15.516130,2026-04-10 12:38:28.519467
2,0.007080460898578167,COMPLETE,4,0.3896896099223679,0.827557613304815,24,16,0.000816845589476017,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00002/checkpoints/best-epoch003-valloss0.007080.ckpt,4,16,16,16-mixed,24.0,2026-04-10 12:38:28.685967,2026-04-10 12:41:39.239226
3,0.007046656683087349,COMPLETE,1,0.19351332282682332,0.5680612190600297,16,32,0.0004066563313514797,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00003/checkpoints/best-epoch001-valloss0.007047.ckpt,1,16,32,16-mixed,,2026-04-10 12:41:39.398736,2026-04-10 12:45:37.011021
4,0.0070536076091229916,COMPLETE,1,0.11356818667316143,0.39279729768693794,8,32,0.0012399967836846098,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00004/checkpoints/best-epoch002-valloss0.007054.ckpt,1,8,32,16-mixed,,2026-04-10 12:45:37.180270,2026-04-10 12:49:29.946702
5,0.007052287925034761,COMPLETE,4,0.33167343078899725,0.2788441133807552,16,32,0.0005989003672254305,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00005/checkpoints/best-epoch003-valloss0.007052.ckpt,4,16,32,16-mixed,,2026-04-10 12:49:30.107000,2026-04-10 12:53:39.516137
6,0.007116206455975771,PRUNED,2,0.19926940745579477,0.1572025152574213,8,16,0.00010257563974185662,,2,8,16,,,2026-04-10 12:53:39.682821,2026-04-10 12:57:13.336739
7,0.0070101553574204445,COMPLETE,2,0.3312901539863683,0.5444160367279517,8,32,0.0004187594718900631,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00007/checkpoints/best-epoch003-valloss0.007010.ckpt,2,8,32,16-mixed,,2026-04-10 12:57:33.517503,2026-04-10 13:03:11.416134
8,0.007019215729087591,COMPLETE,2,0.22311487691068893,0.7799960246887438,16,16,0.0011103647313054626,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00008/checkpoints/best-epoch003-valloss0.007019.ckpt,2,16,16,16-mixed,,2026-04-10 13:03:11.569416,2026-04-10 13:05:50.771134
9,0.0070497505366802216,COMPLETE,1,0.3677676995469934,0.5854080177240857,8,32,0.00028681134821030097,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00009/checkpoints/best-epoch003-valloss0.007050.ckpt,1,8,32,16-mixed,,2026-04-10 13:05:50.926739,2026-04-10 13:09:54.077781
10,,RUNNING,2,0.2955599652334536,0.7212223662122308,24,48,0.0035848769372239945,,2,24,48,,,2026-04-10 13:09:54.284125,
11,0.007093093357980251,PRUNED,2,0.2955599652334536,0.7212223662122308,24,48,0.0035848769372239945,,2,24,48,,,2026-04-10 13:26:31.063292,2026-04-10 13:30:11.236934
12,0.00703530153259635,COMPLETE,2,0.26122493141558634,0.727440308506085,16,48,0.0017187284720647123,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00012/checkpoints/best-epoch002-valloss0.007035.ckpt,2,16,48,16-mixed,,2026-04-10 13:30:31.404348,2026-04-10 13:34:12.652647
13,0.007041641976684332,COMPLETE,2,0.2462126694271889,0.9976508110589856,8,32,0.00019765769484044325,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00013/checkpoints/best-epoch003-valloss0.007042.ckpt,2,8,32,16-mixed,,2026-04-10 13:34:12.811932,2026-04-10 13:37:47.449974
14,0.0070178634487092495,COMPLETE,2,0.3131589487572454,0.7091362522860537,16,16,0.0017594549571839837,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00014/checkpoints/best-epoch002-valloss0.007018.ckpt,2,16,16,16-mixed,,2026-04-10 13:37:47.599791,2026-04-10 13:40:23.951584
15,0.007096368819475174,PRUNED,2,0.3131199057475358,0.43793786484228653,24,48,0.008223879094645344,,2,24,48,,,2026-04-10 13:40:24.135843,2026-04-10 13:44:06.857233
16,0.007056972477585077,PRUNED,2,0.3531940305133585,0.6511527799572365,8,16,0.0025462000110411357,,2,8,16,,,2026-04-10 13:44:27.040700,2026-04-10 13:47:56.613014
17,0.007031370885670185,COMPLETE,4,0.28837701473599536,0.8889515015089635,16,32,0.00016183438421702386,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00017/checkpoints/best-epoch003-valloss0.007031.ckpt,4,16,32,16-mixed,,2026-04-10 13:48:16.795567,2026-04-10 13:52:51.048430
18,0.0070355795323848724,COMPLETE,2,0.39893787237981293,0.5028329602321086,8,32,0.0018242980840346412,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_30/trials/trial_00018/checkpoints/best-epoch003-valloss0.007036.ckpt,2,8,32,16-mixed,,2026-04-10 13:52:51.230965,2026-04-10 13:57:24.793064
19,0.007087368983775377,PRUNED,2,0.338914219345286,0.6469104606447199,16,16,0.0003511238860645838,,2,16,16,,,2026-04-10 13:57:24.978976,2026-04-10 14:00:19.163465
